date,dock_id,dock_name,capacity_per_hour,slots_used,is_available,suitable_wagons
2024-01-20,LD01,Dock 1,120,1,True,"BOXN, BCN, BOST"
2024-01-20,LD02,Dock 2,150,0,True,"BOBYN, BLC"
2024-01-20,LD03,Dock 3,130,1,True,"BOXN, BCN, BOBYN"
2024-01-20,LD04,Dock 4,100,2,True,"BLC, BOST, BCN"
2024-01-21,LD01,Dock 1,120,1,True,"BOXN, BCN, BOST"
2024-01-21,LD02,Dock 2,150,2,True,"BOBYN, BLC"
2024-01-21,LD03,Dock 3,130,2,True,"BOXN, BCN, BOBYN"
2024-01-21,LD04,Dock 4,100,1,True,"BLC, BOST, BCN"
2024-01-22,LD01,Dock 1,120,2,True,"BOXN, BCN, BOST"
2024-01-22,LD02,Dock 2,150,1,True,"BOBYN, BLC"
2024-01-22,LD03,Dock 3,130,1,True,"BOXN, BCN, BOBYN"
2024-01-22,LD04,Dock 4,100,3,False,"BLC, BOST, BCN"
2024-01-23,LD01,Dock 1,120,2,True,"BOXN, BCN, BOST"
2024-01-23,LD02,Dock 2,150,2,True,"BOBYN, BLC"
2024-01-23,LD03,Dock 3,130,0,True,"BOXN, BCN, BOBYN"
2024-01-23,LD04,Dock 4,100,1,True,"BLC, BOST, BCN"
2024-01-24,LD01,Dock 1,120,3,False,"BOXN, BCN, BOST"
2024-01-24,LD02,Dock 2,150,3,False,"BOBYN, BLC"
2024-01-24,LD03,Dock 3,130,0,True,"BOXN, BCN, BOBYN"
2024-01-24,LD04,Dock 4,100,2,True,"BLC, BOST, BCN"
2024-01-25,LD01,Dock 1,120,3,False,"BOXN, BCN, BOST"
2024-01-25,LD02,Dock 2,150,2,True,"BOBYN, BLC"
2024-01-25,LD03,Dock 3,130,3,False,"BOXN, BCN, BOBYN"
2024-01-25,LD04,Dock 4,100,3,False,"BLC, BOST, BCN"
2024-01-26,LD01,Dock 1,120,1,True,"BOXN, BCN, BOST"
2024-01-26,LD02,Dock 2,150,2,True,"BOBYN, BLC"
2024-01-26,LD03,Dock 3,130,3,False,"BOXN, BCN, BOBYN"
2024-01-26,LD04,Dock 4,100,1,True,"BLC, BOST, BCN"
2024-01-27,LD01,Dock 1,120,3,False,"BOXN, BCN, BOST"
2024-01-27,LD02,Dock 2,150,1,True,"BOBYN, BLC"
2024-01-27,LD03,Dock 3,130,1,True,"BOXN, BCN, BOBYN"
2024-01-27,LD04,Dock 4,100,2,True,"BLC, BOST, BCN"
2024-01-28,LD01,Dock 1,120,1,True,"BOXN, BCN, BOST"
2024-01-28,LD02,Dock 2,150,3,False,"BOBYN, BLC"
2024-01-28,LD03,Dock 3,130,0,True,"BOXN, BCN, BOBYN"
2024-01-28,LD04,Dock 4,100,3,False,"BLC, BOST, BCN"
2024-01-29,LD01,Dock 1,120,3,False,"BOXN, BCN, BOST"
2024-01-29,LD02,Dock 2,150,1,True,"BOBYN, BLC"
2024-01-29,LD03,Dock 3,130,3,False,"BOXN, BCN, BOBYN"
2024-01-29,LD04,Dock 4,100,1,True,"BLC, BOST, BCN"
2024-01-30,LD01,Dock 1,120,2,True,"BOXN, BCN, BOST"
2024-01-30,LD02,Dock 2,150,1,True,"BOBYN, BLC"
2024-01-30,LD03,Dock 3,130,2,True,"BOXN, BCN, BOBYN"
2024-01-30,LD04,Dock 4,100,0,True,"BLC, BOST, BCN"
