dispatch_id,product,wagon_type,num_wagons,quantity_tonnes,fill_percentage,destination_id,destination_city,distance_km,planned_dispatch_date,actual_dispatch_date,delay_days,is_delayed,pending_orders_count,inventory_level,dock_utilization,is_month_end,day_of_week,month,demurrage_cost,freight_cost,total_cost
DISP2017,Structurals,BOST,51,1826.08,71.61,CMO01,Delhi,1200,2023-08-12,2023-08-12,0,0,34,0.871,0.538,0,5,8,0,2629555.2,2629555.2
DISP2018,Plate,BCN,40,1958.52,89.02,CMO04,Kolkata,350,2023-08-19,2023-08-20,1,1,67,0.383,0.687,0,5,8,600000,822578.4,1422578.4
DISP2019,Plate,BLC,42,2426.02,93.17,CMO06,Ahmedabad,1900,2023-06-01,2023-06-03,2,1,36,0.77,0.357,0,3,6,1260000,5531325.6,6791325.6
DISP2020,Structurals,BLC,50,2505.45,80.82,CMO02,Mumbai,1800,2023-02-16,2023-02-16,0,0,5,0.954,0.611,0,3,2,0,5411772.0,5411772.0
DISP2021,HR Coil,BOXN,45,2164.46,82.93,CMO02,Mumbai,1800,2023-10-13,2023-10-15,2,1,76,0.61,0.372,0,4,10,1350000,4675233.6,6025233.6
DISP2022,Plate,BCN,52,2012.59,70.37,CMO05,Hyderabad,1600,2023-07-31,2023-08-05,5,1,54,0.823,0.807,1,0,7,3900000,3864172.8,7764172.8
DISP2023,CR Coil,BOST,45,2037.59,90.56,CMO05,Hyderabad,1600,2023-03-28,2023-03-29,1,1,22,0.415,0.488,1,1,3,675000,3912172.8,4587172.8
DISP2024,TMT Bar,BCN,55,2827.77,93.48,CMO04,Kolkata,350,2023-07-04,2023-07-04,0,0,37,0.955,0.805,0,1,7,0,1187663.4,1187663.4
DISP2025,Plate,BLC,43,1974.56,74.06,CMO02,Mumbai,1800,2023-01-04,2023-01-04,0,0,55,0.466,0.734,0,2,1,0,4265049.6,4265049.6
DISP2026,TMT Bar,BCN,53,2753.63,94.46,CMO04,Kolkata,350,2023-11-30,2023-11-30,0,0,22,0.44,0.722,1,3,11,0,1156524.6,1156524.6
DISP2027,Wire Rod,BOBYN,52,3090.73,99.06,CMO03,Chennai,2100,2023-05-30,2023-06-01,2,1,67,0.974,0.847,1,1,5,1560000,7788639.6,9348639.6
DISP2028,Semis,BCN,43,2316.8,97.96,CMO04,Kolkata,350,2023-04-13,2023-04-13,0,0,80,0.998,0.426,0,3,4,0,973056.0,973056.0
DISP2029,HR Coil,BLC,46,2371.54,83.15,CMO06,Ahmedabad,1900,2023-05-30,2023-06-02,3,1,13,0.855,0.857,1,1,5,2070000,5407111.2,7477111.2
DISP2030,Structurals,BOBYN,48,2585.08,89.76,CMO03,Chennai,2100,2023-08-05,2023-08-08,3,1,53,0.259,0.993,0,5,8,2160000,6514401.6,8674401.6
DISP2031,Plate,BLC,57,2512.78,71.1,CMO07,Pune,1750,2023-07-04,2023-07-05,1,1,73,0.675,0.94,0,1,7,855000,5276838.0,6131838.0
DISP2032,Structurals,BOBYN,41,2137.66,86.9,CMO03,Chennai,2100,2023-11-27,2023-11-27,0,0,56,0.973,0.532,1,0,11,0,5386903.2,5386903.2
DISP2033,HR Coil,BOXN,48,2134.22,76.66,CMO01,Delhi,1200,2023-09-23,2023-09-25,2,1,76,0.664,0.703,0,5,9,1440000,3073276.8,4513276.8
DISP2034,Semis,BOST,56,2086.63,74.52,CMO06,Ahmedabad,1900,2023-01-13,2023-01-13,0,0,66,0.284,0.591,0,4,1,0,4757516.4,4757516.4
DISP2035,HR Coil,BOBYN,51,2428.32,79.36,CMO07,Pune,1750,2023-08-22,2023-08-24,2,1,31,0.617,0.544,0,1,8,1530000,5099472.0,6629472.0
DISP2036,Wire Rod,BOXN,49,2027.5,71.34,CMO03,Chennai,2100,2023-12-30,2024-01-03,4,1,19,0.218,0.54,1,5,12,2940000,5109300.0,8049300.0
DISP2037,Structurals,BOST,45,1947.54,86.56,CMO02,Mumbai,1800,2023-06-19,2023-06-19,0,0,76,0.541,0.623,0,0,6,0,4206686.4,4206686.4
DISP2038,Structurals,BOBYN,53,2603.39,81.87,CMO02,Mumbai,1800,2023-11-11,2023-11-12,1,1,30,0.56,0.601,0,5,11,795000,5623322.4,6418322.4
DISP2039,TMT Bar,BOXN,58,2457.49,73.05,CMO07,Pune,1750,2023-10-02,2023-10-04,2,1,28,0.493,0.438,0,0,10,1740000,5160729.0,6900729.0
DISP2040,Wire Rod,BCN,52,2526.5,88.34,CMO05,Hyderabad,1600,2023-10-28,2023-11-01,4,1,19,0.478,0.892,1,5,10,3120000,4850880.0,7970880.0
DISP2041,Structurals,BCN,58,2314.11,72.54,CMO07,Pune,1750,2023-03-10,2023-03-12,2,1,45,0.294,0.514,0,4,3,1740000,4859631.0,6599631.0
DISP2042,Plate,BLC,44,2380.02,87.24,CMO04,Kolkata,350,2023-08-05,2023-08-05,0,0,28,0.589,0.676,0,5,8,0,999608.4,999608.4
DISP2043,CR Coil,BOBYN,55,2595.95,78.67,CMO05,Hyderabad,1600,2023-04-06,2023-04-06,0,0,45,0.874,0.734,0,3,4,0,4984224.0,4984224.0
DISP2044,HR Coil,BOBYN,46,2607.0,94.46,CMO04,Kolkata,350,2023-10-15,2023-10-15,0,0,69,0.722,0.586,0,6,10,0,1094940.0,1094940.0
DISP2045,Structurals,BLC,55,2558.1,75.02,CMO07,Pune,1750,2023-10-17,2023-10-18,1,1,8,0.837,0.454,0,1,10,825000,5372010.0,6197010.0
DISP2046,TMT Bar,BLC,58,3318.23,92.28,CMO02,Mumbai,1800,2023-09-11,2023-09-13,2,1,75,0.609,0.701,0,0,9,1740000,7167376.8,8907376.8
DISP2047,TMT Bar,BOXN,54,2705.75,86.39,CMO05,Hyderabad,1600,2023-08-06,2023-08-09,3,1,18,0.789,0.758,0,6,8,2430000,5195040.0,7625040.0
DISP2048,HR Coil,BCN,51,2689.04,95.87,CMO04,Kolkata,350,2023-02-14,2023-02-14,0,0,61,0.892,0.382,0,1,2,0,1129396.8,1129396.8
DISP2049,CR Coil,BOST,51,2443.7,95.83,CMO07,Pune,1750,2023-11-09,2023-11-10,1,1,59,0.333,0.397,0,3,11,765000,5131770.0,5896770.0
DISP2050,HR Coil,BCN,57,2458.86,78.43,CMO05,Hyderabad,1600,2023-10-03,2023-10-04,1,1,26,0.459,0.793,0,1,10,855000,4721011.2,5576011.2
DISP2051,Semis,BOXN,44,2523.5,98.88,CMO05,Hyderabad,1600,2023-07-30,2023-08-03,4,1,12,0.994,0.907,1,6,7,2640000,4845120.0,7485120.0
DISP2052,CR Coil,BCN,47,2400.02,92.84,CMO02,Mumbai,1800,2023-12-13,2023-12-14,1,1,55,0.592,0.704,0,2,12,705000,5184043.2,5889043.2
DISP2053,Wire Rod,BOXN,52,2577.73,85.47,CMO01,Delhi,1200,2023-05-23,2023-05-23,0,0,52,0.564,0.642,0,1,5,0,3711931.2,3711931.2
DISP2054,Semis,BOXN,54,2788.9,89.05,CMO07,Pune,1750,2023-12-24,2023-12-29,5,1,50,0.88,0.857,0,6,12,4050000,5856690.0,9906690.0
DISP2055,Semis,BLC,48,2371.45,79.69,CMO02,Mumbai,1800,2023-05-26,2023-05-26,0,0,48,0.638,0.391,1,4,5,0,5122332.0,5122332.0
DISP2056,Semis,BOXN,41,1735.64,72.99,CMO03,Chennai,2100,2023-08-24,2023-08-25,1,1,7,0.299,0.9,0,3,8,615000,4373812.8,4988812.8
DISP2057,Wire Rod,BOBYN,49,2198.22,74.77,CMO02,Mumbai,1800,2023-05-21,2023-05-21,0,0,16,0.724,0.475,0,6,5,0,4748155.2,4748155.2
DISP2058,Structurals,BOXN,52,2677.25,88.77,CMO02,Mumbai,1800,2023-12-25,2023-12-26,1,1,34,0.543,0.364,1,0,12,780000,5782860.0,6562860.0
DISP2059,HR Coil,BOST,47,2011.21,85.58,CMO02,Mumbai,1800,2023-08-16,2023-08-19,3,1,6,0.206,0.541,0,2,8,2115000,4344213.6,6459213.6
DISP2060,Structurals,BLC,42,2001.65,76.87,CMO02,Mumbai,1800,2023-02-15,2023-02-16,1,1,18,0.283,0.557,0,2,2,630000,4323564.0,4953564.0
DISP2061,Semis,BOBYN,44,1902.18,72.05,CMO07,Pune,1750,2023-10-16,2023-10-16,0,0,6,0.688,0.415,0,0,10,0,3994578.0,3994578.0
DISP2062,CR Coil,BOBYN,53,2813.74,88.48,CMO06,Ahmedabad,1900,2023-08-15,2023-08-15,0,0,32,0.269,0.37,0,1,8,0,6415327.2,6415327.2
DISP2063,Plate,BLC,51,3127.14,98.9,CMO06,Ahmedabad,1900,2023-06-11,2023-06-13,2,1,22,0.398,0.751,0,6,6,1530000,7129879.2,8659879.2
DISP2064,Structurals,BCN,40,2099.61,95.44,CMO05,Hyderabad,1600,2023-12-04,2023-12-06,2,1,43,0.364,0.725,0,0,12,1200000,4031251.2,5231251.2
DISP2065,Structurals,BOBYN,55,2692.03,81.58,CMO01,Delhi,1200,2023-05-04,2023-05-04,0,0,68,0.71,0.35,0,3,5,0,3876523.2,3876523.2
DISP2066,HR Coil,BCN,44,1974.84,81.6,CMO03,Chennai,2100,2023-10-19,2023-10-19,0,0,58,0.492,0.778,0,3,10,0,4976596.8,4976596.8
DISP2067,Semis,BOXN,58,2422.95,72.03,CMO01,Delhi,1200,2023-05-15,2023-05-15,0,0,32,0.232,0.342,0,0,5,0,3489048.0,3489048.0
DISP2068,Plate,BOST,53,2191.74,82.71,CMO03,Chennai,2100,2023-07-25,2023-07-26,1,1,15,0.712,0.676,1,1,7,795000,5523184.8,6318184.8
DISP2069,HR Coil,BOBYN,44,2272.82,86.09,CMO05,Hyderabad,1600,2023-07-20,2023-07-20,0,0,80,0.707,0.884,0,3,7,0,4363814.4,4363814.4
DISP2070,HR Coil,BLC,47,2090.42,71.74,CMO03,Chennai,2100,2023-02-14,2023-02-17,3,1,60,0.293,0.729,0,1,2,2115000,5267858.4,7382858.4
DISP2071,Structurals,BOBYN,43,1815.8,70.38,CMO06,Ahmedabad,1900,2023-03-12,2023-03-16,4,1,6,0.331,0.967,0,6,3,2580000,4140024.0,6720024.0
DISP2072,Structurals,BOBYN,51,2258.52,73.81,CMO03,Chennai,2100,2023-05-18,2023-05-18,0,0,20,0.817,0.321,0,3,5,0,5691470.4,5691470.4
DISP2073,TMT Bar,BOXN,48,2543.73,91.37,CMO05,Hyderabad,1600,2023-10-23,2023-10-26,3,1,14,0.597,0.658,0,0,10,2160000,4883961.6,7043961.6
DISP2074,CR Coil,BOBYN,48,2684.16,93.2,CMO03,Chennai,2100,2023-10-21,2023-10-24,3,1,19,0.383,0.656,0,5,10,2160000,6764083.2,8924083.2
DISP2075,CR Coil,BLC,51,2576.69,81.49,CMO01,Delhi,1200,2023-03-18,2023-03-22,4,1,27,0.945,0.9,0,5,3,3060000,3710433.6,6770433.6
DISP2076,Structurals,BLC,47,2321.12,79.65,CMO06,Ahmedabad,1900,2023-08-02,2023-08-02,0,0,45,0.417,0.355,0,2,8,0,5292153.6,5292153.6
DISP2077,Plate,BOXN,45,2001.75,76.7,CMO06,Ahmedabad,1900,2023-09-22,2023-09-22,0,0,10,0.963,0.348,0,4,9,0,4563990.0,4563990.0
DISP2078,TMT Bar,BCN,50,1996.27,72.59,CMO07,Pune,1750,2023-08-22,2023-08-22,0,0,6,0.495,0.504,0,1,8,0,4192167.0,4192167.0
DISP2079,Structurals,BOBYN,54,2625.96,81.05,CMO05,Hyderabad,1600,2023-09-10,2023-09-10,0,0,30,0.786,0.683,0,6,9,0,5041843.2,5041843.2
DISP2080,CR Coil,BLC,40,1909.35,76.99,CMO01,Delhi,1200,2023-06-27,2023-06-27,0,0,6,0.961,0.301,1,1,6,0,2749464.0,2749464.0
DISP2081,Semis,BCN,43,1801.09,76.16,CMO06,Ahmedabad,1900,2023-05-02,2023-05-02,0,0,58,0.594,0.342,0,1,5,0,4106485.2,4106485.2
DISP2082,Structurals,BOXN,41,2321.84,97.64,CMO03,Chennai,2100,2023-09-24,2023-09-24,0,0,57,0.761,0.561,0,6,9,0,5851036.8,5851036.8
DISP2083,HR Coil,BOXN,56,2403.7,74.01,CMO05,Hyderabad,1600,2023-07-21,2023-07-21,0,0,14,0.674,0.344,0,4,7,0,4615104.0,4615104.0
DISP2084,CR Coil,BCN,48,2521.92,95.53,CMO02,Mumbai,1800,2023-07-21,2023-07-22,1,1,46,0.454,0.49,0,4,7,720000,5447347.2,6167347.2
DISP2085,Semis,BOST,43,1605.24,74.66,CMO07,Pune,1750,2023-03-26,2023-03-31,5,1,62,0.573,0.585,1,6,3,3225000,3371004.0,6596004.0
DISP2086,CR Coil,BCN,54,2315.12,77.95,CMO04,Kolkata,350,2023-03-03,2023-03-03,0,0,16,0.326,0.78,0,4,3,0,972350.4,972350.4
DISP2087,Structurals,BOXN,46,2536.67,95.08,CMO05,Hyderabad,1600,2023-06-17,2023-06-19,2,1,23,0.273,0.474,0,5,6,1380000,4870406.4,6250406.4
DISP2088,Structurals,BCN,45,1755.58,70.93,CMO03,Chennai,2100,2023-07-27,2023-07-28,1,1,62,0.645,0.685,1,3,7,675000,4424061.6,5099061.6
DISP2089,Semis,BOXN,40,1666.92,71.85,CMO02,Mumbai,1800,2023-04-24,2023-04-24,0,0,21,0.359,0.58,0,0,4,0,3600547.2,3600547.2
DISP2090,Structurals,BOST,58,2255.17,77.76,CMO01,Delhi,1200,2023-02-08,2023-02-08,0,0,7,0.998,0.438,0,2,2,0,3247444.8,3247444.8
DISP2091,Semis,BOXN,50,2136.6,73.68,CMO02,Mumbai,1800,2023-08-25,2023-08-25,0,0,11,0.334,0.702,1,4,8,0,4615056.0,4615056.0
DISP2092,Wire Rod,BOXN,52,2729.37,90.5,CMO04,Kolkata,350,2023-03-30,2023-04-03,4,1,50,0.372,0.431,1,3,3,3120000,1146335.4,4266335.4
DISP2093,HR Coil,BOST,47,2101.33,89.42,CMO05,Hyderabad,1600,2023-09-13,2023-09-14,1,1,57,0.906,0.635,0,2,9,705000,4034553.6,4739553.6
DISP2094,Wire Rod,BOST,47,2089.68,88.92,CMO02,Mumbai,1800,2023-10-06,2023-10-06,0,0,7,0.992,0.847,0,4,10,0,4513708.8,4513708.8
DISP2095,Plate,BLC,51,3079.17,97.38,CMO07,Pune,1750,2023-09-15,2023-09-16,1,1,46,0.511,0.426,0,4,9,765000,6466257.0,7231257.0
DISP2096,Semis,BCN,41,2125.55,94.26,CMO07,Pune,1750,2023-08-30,2023-09-01,2,1,72,0.486,0.709,1,2,8,1230000,4463655.0,5693655.0
DISP2097,CR Coil,BOBYN,48,2477.11,86.01,CMO06,Ahmedabad,1900,2023-01-29,2023-02-03,5,1,33,0.661,0.988,1,6,1,3600000,5647810.8,9247810.8
DISP2098,Semis,BOBYN,47,2475.27,87.78,CMO02,Mumbai,1800,2023-12-24,2023-12-24,0,0,50,0.931,0.32,0,6,12,0,5346583.2,5346583.2
DISP2099,Plate,BOBYN,58,3426.1,98.45,CMO05,Hyderabad,1600,2023-09-10,2023-09-11,1,1,74,0.447,0.643,0,6,9,870000,6578112.0,7448112.0
DISP2100,CR Coil,BOST,55,1925.56,70.02,CMO01,Delhi,1200,2023-11-11,2023-11-14,3,1,30,0.845,0.539,0,5,11,2475000,2772806.4,5247806.4
DISP2101,Semis,BOXN,40,1726.81,74.43,CMO03,Chennai,2100,2023-12-27,2024-01-01,5,1,23,0.819,0.893,1,2,12,3000000,4351561.2,7351561.2
DISP2102,TMT Bar,BLC,58,2626.19,73.03,CMO06,Ahmedabad,1900,2023-06-04,2023-06-04,0,0,46,0.309,0.41,0,6,6,0,5987713.2,5987713.2
DISP2103,Semis,BLC,50,2332.01,75.23,CMO06,Ahmedabad,1900,2023-10-15,2023-10-17,2,1,50,0.379,0.712,0,6,10,1500000,5316982.8,6816982.8
DISP2104,Structurals,BOBYN,45,2480.35,91.86,CMO03,Chennai,2100,2023-12-26,2023-12-26,0,0,78,0.513,0.996,1,1,12,0,6250482.0,6250482.0
DISP2105,HR Coil,BOST,50,2440.78,97.63,CMO02,Mumbai,1800,2023-11-10,2023-11-10,0,0,33,0.712,0.373,0,4,11,0,5272084.8,5272084.8
DISP2106,TMT Bar,BOXN,47,2191.82,80.4,CMO06,Ahmedabad,1900,2023-06-13,2023-06-13,0,0,26,0.709,0.974,0,1,6,0,4997349.6,4997349.6
DISP2107,Structurals,BCN,54,2089.15,70.34,CMO06,Ahmedabad,1900,2023-04-18,2023-04-18,0,0,36,0.755,0.545,0,1,4,0,4763262.0,4763262.0
DISP2108,Structurals,BOXN,52,2507.7,83.15,CMO01,Delhi,1200,2023-08-03,2023-08-03,0,0,26,0.908,0.645,0,3,8,0,3611088.0,3611088.0
DISP2109,Plate,BOXN,55,2987.81,93.66,CMO04,Kolkata,350,2023-10-23,2023-10-23,0,0,33,0.33,0.352,0,0,10,0,1254880.2,1254880.2
DISP2110,TMT Bar,BCN,48,2601.72,98.55,CMO01,Delhi,1200,2023-02-07,2023-02-07,0,0,48,0.336,0.563,0,1,2,0,3746476.8,3746476.8
DISP2111,Plate,BCN,55,2756.84,91.14,CMO01,Delhi,1200,2023-08-09,2023-08-10,1,1,26,0.686,0.604,0,2,8,825000,3969849.6,4794849.6
DISP2112,CR Coil,BOST,57,2221.8,77.96,CMO04,Kolkata,350,2023-05-25,2023-05-25,0,0,43,0.39,0.335,1,3,5,0,933156.0,933156.0
DISP2113,Semis,BOBYN,41,1988.29,80.82,CMO04,Kolkata,350,2023-08-07,2023-08-07,0,0,16,0.436,0.763,0,0,8,0,835081.8,835081.8
DISP2114,CR Coil,BOXN,46,2004.33,75.12,CMO01,Delhi,1200,2023-05-30,2023-05-30,0,0,15,0.579,0.381,1,1,5,0,2886235.2,2886235.2
DISP2115,Wire Rod,BCN,42,2061.81,89.26,CMO04,Kolkata,350,2023-07-18,2023-07-18,0,0,28,0.497,0.567,0,1,7,0,865960.2,865960.2
DISP2116,HR Coil,BLC,54,2608.16,77.9,CMO03,Chennai,2100,2023-05-18,2023-05-19,1,1,77,0.249,0.827,0,3,5,810000,6572563.2,7382563.2
DISP2117,TMT Bar,BOST,53,2626.71,99.12,CMO07,Pune,1750,2023-10-29,2023-11-01,3,1,34,0.643,0.889,1,6,10,2385000,5516091.0,7901091.0
DISP2118,Plate,BLC,58,3468.33,96.45,CMO06,Ahmedabad,1900,2023-09-01,2023-09-04,3,1,43,0.263,0.932,0,4,9,2610000,7907792.4,10517792.4
DISP2119,Plate,BOST,44,1619.39,73.61,CMO07,Pune,1750,2023-08-18,2023-08-18,0,0,27,0.959,0.417,0,4,8,0,3400719.0,3400719.0
DISP2120,CR Coil,BOXN,53,2224.07,72.35,CMO02,Mumbai,1800,2023-12-16,2023-12-19,3,1,60,0.362,0.876,0,5,12,2385000,4803991.2,7188991.2
DISP2121,TMT Bar,BOXN,42,1988.82,81.64,CMO06,Ahmedabad,1900,2023-07-23,2023-07-27,4,1,75,0.461,0.493,0,6,7,2520000,4534509.6,7054509.6
DISP2122,Semis,BOST,58,2484.63,85.68,CMO06,Ahmedabad,1900,2023-08-03,2023-08-03,0,0,19,0.532,0.404,0,3,8,0,5664956.4,5664956.4
DISP2123,Semis,BOXN,58,3141.52,93.39,CMO01,Delhi,1200,2023-05-27,2023-05-30,3,1,73,0.904,0.915,1,5,5,2610000,4523788.8,7133788.8
DISP2124,Plate,BLC,41,1910.72,75.17,CMO05,Hyderabad,1600,2023-07-26,2023-07-28,2,1,23,0.695,0.777,1,2,7,1230000,3668582.4,4898582.4
DISP2125,TMT Bar,BOBYN,41,2272.36,92.37,CMO06,Ahmedabad,1900,2023-05-18,2023-05-20,2,1,52,0.216,0.872,0,3,5,1230000,5180980.8,6410980.8
DISP2126,Wire Rod,BOXN,47,2018.1,74.03,CMO07,Pune,1750,2023-08-15,2023-08-15,0,0,46,0.416,0.592,0,1,8,0,4238010.0,4238010.0
DISP2127,CR Coil,BOBYN,53,2932.86,92.23,CMO04,Kolkata,350,2023-09-22,2023-09-23,1,1,52,0.857,0.661,0,4,9,795000,1231801.2,2026801.2
DISP2128,Plate,BOBYN,56,3238.37,96.38,CMO04,Kolkata,350,2023-01-15,2023-01-15,0,0,27,0.354,0.883,0,6,1,0,1360115.4,1360115.4
DISP2129,CR Coil,BLC,41,2479.49,97.54,CMO01,Delhi,1200,2023-12-27,2023-12-30,3,1,30,0.419,0.876,1,2,12,1845000,3570465.6,5415465.6
DISP2130,HR Coil,BOXN,47,2212.8,81.17,CMO06,Ahmedabad,1900,2023-11-01,2023-11-03,2,1,62,0.342,0.909,0,2,11,1410000,5045184.0,6455184.0
DISP2131,CR Coil,BCN,42,1814.55,78.55,CMO07,Pune,1750,2023-07-17,2023-07-17,0,0,11,0.33,0.701,0,0,7,0,3810555.0,3810555.0
DISP2132,Semis,BOBYN,46,2154.8,78.07,CMO02,Mumbai,1800,2023-07-29,2023-07-30,1,1,70,0.216,0.846,1,5,7,690000,4654368.0,5344368.0
DISP2133,CR Coil,BOBYN,40,1841.11,76.71,CMO06,Ahmedabad,1900,2023-11-08,2023-11-11,3,1,44,0.77,0.797,0,2,11,1800000,4197730.8,5997730.8
DISP2134,Semis,BLC,48,2278.02,76.55,CMO03,Chennai,2100,2023-06-04,2023-06-06,2,1,71,0.859,0.578,0,6,6,1440000,5740610.4,7180610.4
DISP2135,Structurals,BCN,57,2803.33,89.42,CMO07,Pune,1750,2023-11-08,2023-11-13,5,1,41,0.439,0.376,0,2,11,4275000,5886993.0,10161993.0
DISP2136,Structurals,BCN,48,2367.65,89.68,CMO03,Chennai,2100,2023-11-30,2023-12-01,1,1,43,0.351,0.662,1,3,11,720000,5966478.0,6686478.0
DISP2137,Semis,BOST,52,2335.21,89.82,CMO07,Pune,1750,2023-12-15,2023-12-15,0,0,22,0.777,0.759,0,4,12,0,4903941.0,4903941.0
DISP2138,TMT Bar,BLC,52,2969.37,92.1,CMO04,Kolkata,350,2023-10-26,2023-10-26,0,0,78,0.853,0.54,1,3,10,0,1247135.4,1247135.4
DISP2139,Structurals,BLC,51,2694.64,85.22,CMO05,Hyderabad,1600,2023-03-29,2023-03-31,2,1,76,0.345,0.368,1,2,3,1530000,5173708.8,6703708.8
DISP2140,Semis,BOBYN,50,2688.99,89.63,CMO05,Hyderabad,1600,2023-04-24,2023-04-28,4,1,50,0.379,0.91,0,0,4,3000000,5162860.8,8162860.8
DISP2141,TMT Bar,BOST,49,2055.86,83.91,CMO03,Chennai,2100,2023-03-02,2023-03-05,3,1,65,0.243,0.744,0,3,3,2205000,5180767.2,7385767.2
DISP2142,Wire Rod,BOST,43,2064.54,96.03,CMO02,Mumbai,1800,2023-07-15,2023-07-15,0,0,72,0.439,0.338,0,5,7,0,4459406.4,4459406.4
DISP2143,CR Coil,BCN,53,2903.8,99.62,CMO02,Mumbai,1800,2023-08-23,2023-08-23,0,0,23,0.453,0.801,0,2,8,0,6272208.0,6272208.0
DISP2144,Wire Rod,BOBYN,50,2671.05,89.04,CMO03,Chennai,2100,2023-01-03,2023-01-05,2,1,62,0.419,0.833,0,1,1,1500000,6731046.0,8231046.0
DISP2145,Wire Rod,BOXN,44,2256.85,88.43,CMO07,Pune,1750,2023-11-21,2023-11-22,1,1,59,0.523,0.976,0,1,11,660000,4739385.0,5399385.0
DISP2146,CR Coil,BCN,40,2128.72,96.76,CMO06,Ahmedabad,1900,2023-09-29,2023-10-01,2,1,29,0.214,0.303,1,4,9,1200000,4853481.6,6053481.6
DISP2147,TMT Bar,BOBYN,43,2102.87,81.51,CMO03,Chennai,2100,2023-10-29,2023-10-31,2,1,44,0.334,0.877,1,6,10,1290000,5299232.4,6589232.4
DISP2148,Structurals,BOST,56,2243.78,80.14,CMO05,Hyderabad,1600,2023-12-18,2023-12-19,1,1,22,0.474,0.931,0,0,12,840000,4308057.6,5148057.6
DISP2149,Semis,BOXN,47,2091.65,76.73,CMO04,Kolkata,350,2023-03-09,2023-03-10,1,1,32,0.787,0.713,0,3,3,705000,878493.0,1583493.0
DISP2150,Structurals,BOXN,52,2904.3,96.3,CMO07,Pune,1750,2023-05-11,2023-05-12,1,1,73,0.699,0.716,0,3,5,780000,6099030.0,6879030.0
DISP2151,Semis,BOXN,43,2057.63,82.5,CMO01,Delhi,1200,2023-07-14,2023-07-14,0,0,20,0.638,0.632,0,4,7,0,2962987.2,2962987.2
